"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","363","test_navbar_buttons[chromium-Blog]","src.tests.ui","Wed Apr 08 08:24:01 UTC 2026","passed","Wed Apr 08 08:24:02 UTC 2026","TestHomePage","test_home","",""
"","280","test_navbar_buttons[chromium-Home]","src.tests.ui","Wed Apr 08 08:23:51 UTC 2026","passed","Wed Apr 08 08:23:51 UTC 2026","TestHomePage","test_home","",""
"","5524","instagram","src.tests.ui","Wed Apr 08 08:24:02 UTC 2026","failed","Wed Apr 08 08:24:08 UTC 2026","TestHomePage","test_home","",""
"","352","test_navbar_buttons[chromium-Catalog]","src.tests.ui","Wed Apr 08 08:23:54 UTC 2026","passed","Wed Apr 08 08:23:54 UTC 2026","TestHomePage","test_home","",""
"","508","pinterest","src.tests.ui","Wed Apr 08 08:24:09 UTC 2026","passed","Wed Apr 08 08:24:10 UTC 2026","TestHomePage","test_home","",""
"","629","Проверка возможности открыть продукт","src.tests.ui","Wed Apr 08 08:23:49 UTC 2026","passed","Wed Apr 08 08:23:50 UTC 2026","TestHomePage","test_home","",""
"","448","Тест с полным запросом","src.tests.ui","Wed Apr 08 08:23:52 UTC 2026","passed","Wed Apr 08 08:23:53 UTC 2026","TestHomePage","test_home","",""
"","431","Пробелы","src.tests.ui","Wed Apr 08 08:24:08 UTC 2026","passed","Wed Apr 08 08:24:09 UTC 2026","TestHomePage","test_home","",""
"","420","Символы","src.tests.ui","Wed Apr 08 08:24:11 UTC 2026","passed","Wed Apr 08 08:24:11 UTC 2026","TestHomePage","test_home","",""
"","368","Регистр не важен","src.tests.ui","Wed Apr 08 08:24:00 UTC 2026","passed","Wed Apr 08 08:24:01 UTC 2026","TestHomePage","test_home","",""
"","311","facebook","src.tests.ui","Wed Apr 08 08:23:51 UTC 2026","passed","Wed Apr 08 08:23:52 UTC 2026","TestHomePage","test_home","",""
"","5156","twitter","src.tests.ui","Wed Apr 08 08:23:55 UTC 2026","failed","Wed Apr 08 08:24:00 UTC 2026","TestHomePage","test_home","",""
