"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","301","test_navbar_buttons[chromium-Home]","src.tests.ui","Wed Apr 08 10:18:41 UTC 2026","passed","Wed Apr 08 10:18:41 UTC 2026","TestHomePage","test_home","",""
"","1418","Проверка возможности открыть продукт","src.tests.ui","Wed Apr 08 10:18:39 UTC 2026","passed","Wed Apr 08 10:18:40 UTC 2026","TestHomePage","test_home","",""
"","413","Пробелы","src.tests.ui","Wed Apr 08 10:18:57 UTC 2026","passed","Wed Apr 08 10:18:57 UTC 2026","TestHomePage","test_home","",""
"","352","Тест с полным запросом","src.tests.ui","Wed Apr 08 10:18:42 UTC 2026","passed","Wed Apr 08 10:18:42 UTC 2026","TestHomePage","test_home","",""
"","285","test_navbar_buttons[chromium-Blog]","src.tests.ui","Wed Apr 08 10:18:50 UTC 2026","passed","Wed Apr 08 10:18:50 UTC 2026","TestHomePage","test_home","",""
"","352","Регистр не важен","src.tests.ui","Wed Apr 08 10:18:49 UTC 2026","passed","Wed Apr 08 10:18:50 UTC 2026","TestHomePage","test_home","",""
"","5467","instagram","src.tests.ui","Wed Apr 08 10:18:51 UTC 2026","failed","Wed Apr 08 10:18:56 UTC 2026","TestHomePage","test_home","",""
"","341","facebook","src.tests.ui","Wed Apr 08 10:18:41 UTC 2026","passed","Wed Apr 08 10:18:42 UTC 2026","TestHomePage","test_home","",""
"","5149","twitter","src.tests.ui","Wed Apr 08 10:18:44 UTC 2026","failed","Wed Apr 08 10:18:49 UTC 2026","TestHomePage","test_home","",""
"","384","Символы","src.tests.ui","Wed Apr 08 10:18:59 UTC 2026","passed","Wed Apr 08 10:18:59 UTC 2026","TestHomePage","test_home","",""
"","320","pinterest","src.tests.ui","Wed Apr 08 10:18:58 UTC 2026","passed","Wed Apr 08 10:18:58 UTC 2026","TestHomePage","test_home","",""
"","268","test_navbar_buttons[chromium-Catalog]","src.tests.ui","Wed Apr 08 10:18:43 UTC 2026","passed","Wed Apr 08 10:18:43 UTC 2026","TestHomePage","test_home","",""
