"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","387","test_navbar_buttons[chromium-Catalog]","src.tests.ui","Wed Apr 08 13:01:54 UTC 2026","passed","Wed Apr 08 13:01:54 UTC 2026","TestHomePage","test_home","",""
"","5376","instagram","src.tests.ui","Wed Apr 08 13:02:02 UTC 2026","failed","Wed Apr 08 13:02:08 UTC 2026","TestHomePage","test_home","",""
"","5144","twitter","src.tests.ui","Wed Apr 08 13:01:55 UTC 2026","failed","Wed Apr 08 13:02:00 UTC 2026","TestHomePage","test_home","",""
"","349","test_navbar_buttons[chromium-Home]","src.tests.ui","Wed Apr 08 13:01:52 UTC 2026","passed","Wed Apr 08 13:01:52 UTC 2026","TestHomePage","test_home","",""
"","258","facebook","src.tests.ui","Wed Apr 08 13:01:52 UTC 2026","passed","Wed Apr 08 13:01:53 UTC 2026","TestHomePage","test_home","",""
"","437","Тест с полным запросом","src.tests.ui","Wed Apr 08 13:01:53 UTC 2026","passed","Wed Apr 08 13:01:54 UTC 2026","TestHomePage","test_home","",""
"","427","Регистр не важен","src.tests.ui","Wed Apr 08 13:02:01 UTC 2026","passed","Wed Apr 08 13:02:01 UTC 2026","TestHomePage","test_home","",""
"","348","test_navbar_buttons[chromium-Blog]","src.tests.ui","Wed Apr 08 13:02:02 UTC 2026","passed","Wed Apr 08 13:02:02 UTC 2026","TestHomePage","test_home","",""
"","1565","Проверка возможности открыть продукт","src.tests.ui","Wed Apr 08 13:01:49 UTC 2026","passed","Wed Apr 08 13:01:51 UTC 2026","TestHomePage","test_home","",""
"","376","Символы","src.tests.ui","Wed Apr 08 13:02:10 UTC 2026","passed","Wed Apr 08 13:02:11 UTC 2026","TestHomePage","test_home","",""
"","338","pinterest","src.tests.ui","Wed Apr 08 13:02:09 UTC 2026","passed","Wed Apr 08 13:02:10 UTC 2026","TestHomePage","test_home","",""
"","519","Пробелы","src.tests.ui","Wed Apr 08 13:02:09 UTC 2026","passed","Wed Apr 08 13:02:09 UTC 2026","TestHomePage","test_home","",""
