"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","368","Тест с полным запросом","src.tests.ui","Wed Apr 08 08:28:55 UTC 2026","passed","Wed Apr 08 08:28:55 UTC 2026","TestHomePage","test_home","",""
"","362","Пробелы","src.tests.ui","Wed Apr 08 08:29:10 UTC 2026","passed","Wed Apr 08 08:29:10 UTC 2026","TestHomePage","test_home","",""
"","5303","instagram","src.tests.ui","Wed Apr 08 08:29:04 UTC 2026","failed","Wed Apr 08 08:29:09 UTC 2026","TestHomePage","test_home","",""
"","299","pinterest","src.tests.ui","Wed Apr 08 08:29:10 UTC 2026","passed","Wed Apr 08 08:29:11 UTC 2026","TestHomePage","test_home","",""
"","387","Символы","src.tests.ui","Wed Apr 08 08:29:11 UTC 2026","passed","Wed Apr 08 08:29:12 UTC 2026","TestHomePage","test_home","",""
"","329","test_navbar_buttons[chromium-Catalog]","src.tests.ui","Wed Apr 08 08:28:56 UTC 2026","passed","Wed Apr 08 08:28:56 UTC 2026","TestHomePage","test_home","",""
"","301","facebook","src.tests.ui","Wed Apr 08 08:28:54 UTC 2026","passed","Wed Apr 08 08:28:55 UTC 2026","TestHomePage","test_home","",""
"","288","test_navbar_buttons[chromium-Home]","src.tests.ui","Wed Apr 08 08:28:53 UTC 2026","passed","Wed Apr 08 08:28:54 UTC 2026","TestHomePage","test_home","",""
"","436","Регистр не важен","src.tests.ui","Wed Apr 08 08:29:02 UTC 2026","passed","Wed Apr 08 08:29:03 UTC 2026","TestHomePage","test_home","",""
"","5148","twitter","src.tests.ui","Wed Apr 08 08:28:57 UTC 2026","failed","Wed Apr 08 08:29:02 UTC 2026","TestHomePage","test_home","",""
"","329","test_navbar_buttons[chromium-Blog]","src.tests.ui","Wed Apr 08 08:29:03 UTC 2026","passed","Wed Apr 08 08:29:03 UTC 2026","TestHomePage","test_home","",""
"","1520","Проверка возможности открыть продукт","src.tests.ui","Wed Apr 08 08:28:51 UTC 2026","passed","Wed Apr 08 08:28:53 UTC 2026","TestHomePage","test_home","",""
