"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","482","Символы","src.tests.ui","Wed Apr 08 08:43:56 UTC 2026","passed","Wed Apr 08 08:43:57 UTC 2026","TestHomePage","test_home","",""
"","5171","twitter","src.tests.ui","Wed Apr 08 08:43:40 UTC 2026","failed","Wed Apr 08 08:43:45 UTC 2026","TestHomePage","test_home","",""
"","388","Тест с полным запросом","src.tests.ui","Wed Apr 08 08:43:38 UTC 2026","passed","Wed Apr 08 08:43:38 UTC 2026","TestHomePage","test_home","",""
"","351","test_navbar_buttons[chromium-Catalog]","src.tests.ui","Wed Apr 08 08:43:39 UTC 2026","passed","Wed Apr 08 08:43:39 UTC 2026","TestHomePage","test_home","",""
"","1817","Проверка возможности открыть продукт","src.tests.ui","Wed Apr 08 08:43:34 UTC 2026","passed","Wed Apr 08 08:43:36 UTC 2026","TestHomePage","test_home","",""
"","507","Регистр не важен","src.tests.ui","Wed Apr 08 08:43:46 UTC 2026","passed","Wed Apr 08 08:43:46 UTC 2026","TestHomePage","test_home","",""
"","5683","instagram","src.tests.ui","Wed Apr 08 08:43:48 UTC 2026","failed","Wed Apr 08 08:43:54 UTC 2026","TestHomePage","test_home","",""
"","287","facebook","src.tests.ui","Wed Apr 08 08:43:37 UTC 2026","passed","Wed Apr 08 08:43:37 UTC 2026","TestHomePage","test_home","",""
"","443","pinterest","src.tests.ui","Wed Apr 08 08:43:55 UTC 2026","passed","Wed Apr 08 08:43:56 UTC 2026","TestHomePage","test_home","",""
"","419","Пробелы","src.tests.ui","Wed Apr 08 08:43:54 UTC 2026","passed","Wed Apr 08 08:43:55 UTC 2026","TestHomePage","test_home","",""
"","378","test_navbar_buttons[chromium-Home]","src.tests.ui","Wed Apr 08 08:43:36 UTC 2026","passed","Wed Apr 08 08:43:37 UTC 2026","TestHomePage","test_home","",""
"","340","test_navbar_buttons[chromium-Blog]","src.tests.ui","Wed Apr 08 08:43:47 UTC 2026","passed","Wed Apr 08 08:43:47 UTC 2026","TestHomePage","test_home","",""
