"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","495","Пробелы","src.tests.ui","Wed Apr 08 10:01:00 UTC 2026","passed","Wed Apr 08 10:01:00 UTC 2026","TestHomePage","test_home","",""
"","413","Регистр не важен","src.tests.ui","Wed Apr 08 10:00:52 UTC 2026","passed","Wed Apr 08 10:00:52 UTC 2026","TestHomePage","test_home","",""
"","260","test_navbar_buttons[chromium-Home]","src.tests.ui","Wed Apr 08 10:00:43 UTC 2026","passed","Wed Apr 08 10:00:43 UTC 2026","TestHomePage","test_home","",""
"","306","facebook","src.tests.ui","Wed Apr 08 10:00:43 UTC 2026","passed","Wed Apr 08 10:00:44 UTC 2026","TestHomePage","test_home","",""
"","388","test_navbar_buttons[chromium-Catalog]","src.tests.ui","Wed Apr 08 10:00:45 UTC 2026","passed","Wed Apr 08 10:00:46 UTC 2026","TestHomePage","test_home","",""
"","1643","Проверка возможности открыть продукт","src.tests.ui","Wed Apr 08 10:00:41 UTC 2026","passed","Wed Apr 08 10:00:42 UTC 2026","TestHomePage","test_home","",""
"","427","Символы","src.tests.ui","Wed Apr 08 10:01:01 UTC 2026","passed","Wed Apr 08 10:01:02 UTC 2026","TestHomePage","test_home","",""
"","364","pinterest","src.tests.ui","Wed Apr 08 10:01:01 UTC 2026","passed","Wed Apr 08 10:01:01 UTC 2026","TestHomePage","test_home","",""
"","449","Тест с полным запросом","src.tests.ui","Wed Apr 08 10:00:44 UTC 2026","passed","Wed Apr 08 10:00:45 UTC 2026","TestHomePage","test_home","",""
"","5349","instagram","src.tests.ui","Wed Apr 08 10:00:54 UTC 2026","failed","Wed Apr 08 10:00:59 UTC 2026","TestHomePage","test_home","",""
"","422","test_navbar_buttons[chromium-Blog]","src.tests.ui","Wed Apr 08 10:00:53 UTC 2026","passed","Wed Apr 08 10:00:53 UTC 2026","TestHomePage","test_home","",""
"","5128","twitter","src.tests.ui","Wed Apr 08 10:00:46 UTC 2026","failed","Wed Apr 08 10:00:51 UTC 2026","TestHomePage","test_home","",""
